Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Afghanistan,AFG,553.973306037506
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Albania,ALB,4431.55559506989
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Algeria,DZA,4782.03470679763
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,American Samoa,ASM,13049.3301536176
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Andorra,AND,39320.0924463621
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Angola,AGO,2777.84304168235
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Antigua and Barbuda,ATG,17901.0409130559
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Argentina,ARG,13105.397163317
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Armenia,ARM,4215.89939440524
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Aruba,ABW,31172.8025129725
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Australia,AUS,58600.7903562771
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Austria,AUT,46154.6250956541
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Azerbaijan,AZE,5262.36870473368
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Bahamas, The",BHS,30344.799600125
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bahrain,BHR,22994.1520744625
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bangladesh,BGD,1460.81351644884
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Barbados,BRB,17334.2131377485
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Belarus,BLR,6165.95788671048
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Belgium,BEL,42382.3182763247
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Belize,BLZ,5699.06280152249
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Benin,BEN,1111.22724744153
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bermuda,BMU,106697.737486296
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bhutan,BTN,3283.77566749485
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bolivia,BOL,3219.20089192093
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bosnia and Herzegovina,BIH,5339.47706826984
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Botswana,BWA,6418.70635422259
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Brazil,BRA,8553.86590205122
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,British Virgin Islands,VGB,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Brunei Darussalam,BRN,29437.8651779688
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bulgaria,BGR,7862.86182980047
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Burkina Faso,BFA,696.044570830807
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Burundi,BDI,274.131908470855
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cabo Verde,CPV,3463.81281889513
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cambodia,KHM,1384.96802283531
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cameroon,CMR,1445.26777135975
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Canada,CAN,44907.3436837248
